onTimeDeliveryRate,financialScore,defectRate,disputeFrequency,geopoliticalRiskFlag,totalShipments,averageDelayDays,daysSinceLastShip,activeShipmentCount,categoryRisk,riskScore,riskTier
11.28,3.01,24.12,17.75,1,1,17.26,150.3,41,1,87.4,critical
88.8,94.22,4.61,1.18,0,199,0.75,0.7,6,0,8.53,low
72.79,73.14,14.92,4.72,0,66,5.33,58.7,14,2,31.56,medium
75.61,67.25,11.43,8.87,0,128,7.85,46.3,14,0,30.18,medium
89.09,77.88,1.4,1.36,0,281,1.2,13.8,5,1,10.73,low
98.64,95.53,0.2,1.68,0,150,2.73,22.8,2,1,7.68,low
68.8,53.34,8.36,5.12,0,44,4.27,41.4,8,0,29.26,low
0.88,12.82,23.73,16.92,1,3,18.79,176.6,44,3,91.71,critical
71.1,55.03,13.96,5.3,0,81,4.75,43.8,21,2,34.7,medium
3.3,2.55,22.25,17.18,1,3,16.65,166.7,48,3,91.28,critical
75.02,54.13,5.49,8.49,0,90,6.43,31.8,15,2,31.79,medium
10.62,4.15,26.62,18.72,1,7,16.56,151.5,42,3,91.27,critical
55.97,67.25,10.61,9.37,0,135,7.81,86.9,20,0,35.64,medium
12.48,11.22,22.38,18.17,1,6,16.78,165.2,44,3,87.94,critical
61.71,57.57,5.57,5.01,0,126,6.94,46.2,24,1,31.93,medium
59.9,69.15,11.1,8.54,0,67,3.52,77.3,8,0,31.41,medium
86.02,76.65,0.68,0.67,0,181,1.13,10.5,7,1,12.32,low
4.33,9.79,23.63,18.17,1,7,19.39,168.6,41,2,90.63,critical
37.47,38.31,15.58,14.74,0,43,8.54,70.3,33,3,56.26,medium
95.11,81.9,0.5,1.87,0,285,0.44,6.2,5,2,9.17,low
92.87,89.44,4.67,2.13,0,155,1.6,3.6,4,1,11.34,low
3.06,3.07,29.47,18.6,1,2,18.11,168.1,45,3,96.0,critical
70.06,53.94,10.89,9.39,1,70,4.99,70.8,14,1,42.74,medium
6.94,14.9,24.37,18.4,1,1,18.06,171.9,44,2,89.19,critical
39.38,33.93,20.87,11.65,1,52,9.94,81.5,34,2,65.26,high
60.81,49.72,11.34,7.92,1,73,4.19,21.7,18,3,46.39,medium
49.53,42.21,17.36,12.32,1,50,12.97,118.4,25,2,62.18,high
98.45,95.1,0.82,2.49,0,166,1.45,14.9,0,2,8.5,low
65.78,63.12,10.0,8.28,1,58,5.45,33.2,18,0,39.65,medium
60.09,64.04,13.81,7.74,0,71,4.43,69.0,8,2,36.12,medium
67.84,74.52,8.7,7.25,1,146,4.34,62.7,15,2,37.26,medium
6.08,6.13,24.21,18.87,1,6,16.91,168.1,43,3,91.53,critical
98.74,94.48,1.0,0.85,0,275,2.41,4.5,6,2,7.19,low
40.17,48.57,15.8,13.05,1,40,8.03,93.7,21,3,60.36,high
14.42,9.86,22.62,17.96,1,7,19.72,166.3,48,3,89.87,critical
99.27,96.54,2.75,0.97,0,188,1.4,7.7,5,1,6.79,low
7.87,7.05,25.49,16.9,1,2,18.7,171.9,48,3,92.2,critical
83.51,91.94,3.95,2.08,0,148,0.2,18.6,8,2,13.83,low
46.77,44.1,14.7,9.79,0,50,10.55,83.9,24,2,49.65,medium
61.47,57.44,13.23,7.48,0,92,4.02,75.6,15,1,35.45,medium
53.87,33.01,14.06,10.97,0,45,12.45,102.9,38,3,54.45,medium
59.81,73.72,13.96,5.48,1,82,5.48,86.9,16,2,42.9,medium
56.89,53.1,12.82,4.38,0,44,6.13,73.6,24,2,39.42,medium
68.3,46.79,10.53,5.2,0,140,5.21,21.7,19,2,33.99,medium
7.56,5.77,27.36,17.64,1,7,19.47,165.5,45,2,92.42,critical
11.78,11.1,26.11,19.81,1,1,18.82,171.3,46,3,92.26,critical
40.68,45.71,21.27,10.66,0,59,8.38,96.5,24,3,54.38,medium
1.71,0.34,27.45,17.06,1,2,16.25,156.9,49,3,94.04,critical
1.37,4.81,27.28,17.94,1,1,16.52,178.2,47,3,94.16,critical
95.34,81.84,2.36,0.2,0,218,0.23,24.2,3,0,7.5,low
68.47,70.48,8.38,10.0,0,64,6.53,89.9,19,2,34.41,medium
68.73,53.26,13.17,7.23,0,115,5.58,44.1,15,3,37.05,medium
14.98,5.16,27.24,19.08,1,6,17.43,153.7,43,3,91.26,critical
14.03,9.78,22.78,18.83,1,6,19.59,166.0,41,3,89.84,critical
4.19,14.04,25.54,18.6,1,5,17.23,159.3,43,3,91.02,critical
32.13,34.64,16.88,11.92,0,47,11.03,80.6,35,2,57.78,medium
80.67,94.82,4.37,2.45,0,178,1.25,18.9,3,1,12.82,low
27.93,41.35,17.18,12.1,1,21,12.0,70.5,21,2,65.31,high
79.11,49.69,8.31,4.79,0,59,6.83,39.5,15,2,31.98,medium
13.6,9.16,26.17,18.92,0,2,18.32,159.7,49,2,82.13,critical
32.72,33.65,15.64,14.33,1,50,11.51,75.3,23,3,66.96,high
99.58,92.73,0.26,2.23,0,143,2.25,27.2,6,0,7.16,low
83.55,94.09,4.79,1.26,0,149,0.25,28.5,8,1,12.32,low
0.44,11.05,24.34,16.21,1,6,18.62,170.2,41,3,91.53,critical
11.0,4.6,23.52,19.71,1,4,16.67,174.8,44,3,90.94,critical
95.02,98.89,4.72,2.58,0,265,1.77,8.9,6,1,8.33,low
42.71,34.84,19.74,8.1,0,35,11.36,91.8,34,2,55.37,medium
28.16,31.74,13.76,13.02,0,44,10.91,89.2,20,3,58.56,medium
61.85,68.86,11.68,7.19,0,136,3.06,69.8,24,2,33.2,medium
96.19,96.85,5.0,2.55,0,147,0.88,23.2,6,1,9.91,low
13.62,8.61,28.14,19.01,1,4,16.49,175.0,46,3,91.5,critical
58.24,64.05,8.46,9.88,1,70,7.78,67.4,5,0,42.18,medium
9.84,4.35,28.01,18.86,1,4,17.71,172.7,46,3,93.64,critical
91.4,76.73,3.69,0.04,0,279,2.59,21.5,9,0,10.85,low
98.83,79.48,2.56,0.35,0,226,2.78,25.4,9,2,11.92,low
60.73,52.02,10.8,4.81,0,101,6.94,81.0,8,0,33.97,medium
35.54,47.5,15.01,14.78,0,50,10.44,94.8,31,1,53.55,medium
68.45,57.5,7.21,7.93,1,90,4.8,29.0,17,2,40.27,medium
12.82,6.09,26.44,18.03,1,6,17.55,166.5,44,3,91.11,critical
42.95,24.63,12.25,12.34,0,45,13.46,108.4,22,2,56.31,medium
56.0,67.12,10.91,4.06,0,85,7.68,79.9,14,3,37.09,medium
55.58,72.66,6.8,9.45,0,92,3.18,71.6,10,3,33.67,medium
74.45,68.85,11.73,6.82,1,85,5.85,32.3,20,0,36.81,medium
79.29,72.03,5.6,9.83,1,102,5.31,85.9,12,2,36.48,medium
9.17,5.22,25.83,19.96,0,7,17.59,155.2,40,3,84.19,critical
88.39,84.31,0.53,2.6,0,149,1.14,19.5,2,2,12.88,low
25.21,35.76,21.73,8.56,1,12,9.97,95.6,28,3,68.62,high
63.72,66.85,12.44,4.22,0,111,4.6,24.4,21,1,30.7,medium
92.27,88.72,0.67,2.52,0,271,0.88,7.6,3,3,10.62,low
45.3,42.55,15.37,10.02,1,36,13.9,86.1,24,3,62.25,high
6.8,10.73,27.19,18.19,1,7,16.1,154.0,43,3,90.79,critical
3.7,13.69,27.32,17.95,1,4,17.37,156.9,43,3,91.74,critical
90.45,81.79,4.22,0.63,0,137,0.05,19.6,9,0,11.02,low
34.32,38.68,18.24,8.17,1,48,10.49,76.2,32,3,63.99,high
99.11,92.43,4.23,0.25,0,267,2.12,9.7,8,0,6.22,low
1.52,0.31,25.56,16.01,1,3,18.06,167.1,48,3,93.89,critical
90.79,82.83,1.41,1.31,0,131,2.64,19.5,2,2,13.53,low
3.14,7.33,28.68,17.4,1,3,19.86,176.0,45,3,95.46,critical
29.25,35.08,19.71,13.39,0,27,10.31,104.1,35,2,60.75,high
98.98,75.36,3.0,1.5,0,281,1.38,19.4,1,0,8.4,low
12.56,10.92,24.54,19.69,1,2,19.75,151.0,47,3,91.5,critical
30.11,28.29,20.34,10.25,1,23,8.39,135.7,35,3,69.45,high
36.4,38.71,12.94,11.33,0,17,11.08,78.0,33,2,54.19,medium
87.09,94.43,0.53,1.34,0,282,2.2,2.9,1,0,6.47,low
87.42,89.05,4.9,1.97,0,114,2.09,20.8,0,1,13.54,low
79.52,58.22,12.65,9.98,0,114,4.57,69.0,20,1,32.6,medium
35.57,23.28,16.86,12.95,1,19,10.77,116.9,39,3,70.25,high
34.51,40.97,16.17,10.42,1,16,9.08,65.7,24,2,61.07,high
68.8,74.51,5.49,6.17,0,138,5.58,74.4,20,3,29.86,low
6.99,6.7,26.05,17.0,1,2,19.54,171.7,42,3,92.79,critical
40.96,35.09,17.07,8.41,1,19,8.14,98.5,39,2,61.45,high
52.24,30.25,13.41,14.02,0,42,11.89,90.5,29,1,52.57,medium
31.56,22.41,19.47,10.6,1,24,10.21,124.6,36,2,69.53,high
83.41,95.71,2.66,0.36,1,282,2.94,17.9,0,0,16.24,low
44.01,31.72,14.58,9.87,1,44,12.49,114.7,31,2,62.95,high
74.18,49.04,5.62,6.65,0,53,5.57,85.2,23,2,33.84,medium
80.93,99.95,0.61,0.78,0,184,1.55,4.5,2,2,10.28,low
55.76,66.82,12.9,7.12,0,142,4.44,32.2,24,1,34.02,medium
5.85,2.39,25.95,16.44,1,6,19.0,154.6,46,3,93.05,critical
97.54,80.86,3.41,1.64,0,102,0.89,10.6,9,0,10.53,low
85.17,80.52,2.49,2.67,1,127,1.94,25.3,7,2,24.53,low
88.21,76.17,1.83,0.56,0,129,0.67,8.7,4,0,11.21,low
1.57,7.27,25.92,16.31,1,7,19.45,162.2,48,3,93.62,critical
7.17,14.69,29.4,18.64,1,6,19.97,169.1,41,1,91.09,critical
7.86,0.16,23.85,18.21,1,3,19.82,169.6,45,3,93.7,critical
98.06,93.1,0.23,1.41,0,130,2.35,13.8,4,0,6.79,low
91.8,97.07,2.49,2.82,0,245,0.38,4.9,2,2,8.8,low
9.79,13.54,26.2,18.15,1,7,18.13,177.7,49,3,91.37,critical
39.2,32.99,19.61,9.95,0,27,12.08,95.7,24,2,57.16,medium
27.57,33.71,21.14,8.39,0,50,8.26,77.9,32,3,58.51,medium
87.76,96.67,3.02,0.17,0,293,2.58,15.7,1,2,9.52,low
94.52,88.04,2.16,0.35,0,157,2.95,18.6,4,2,11.62,low
60.48,48.36,10.15,8.56,0,77,5.3,86.9,24,2,39.67,medium
13.42,3.88,27.48,18.22,1,6,16.15,179.5,44,3,91.4,critical
67.82,54.66,11.52,7.21,0,88,3.72,69.9,23,2,35.34,medium
42.27,22.32,19.71,11.42,1,47,10.06,63.7,37,3,67.38,high
0.44,10.48,27.99,16.02,1,4,17.17,162.6,47,3,92.71,critical
68.98,50.53,12.91,6.15,0,149,5.54,81.7,17,1,34.68,medium
33.68,31.47,20.14,12.0,1,47,13.6,95.9,37,3,70.95,high
78.27,68.05,7.61,8.88,0,116,4.84,45.9,14,1,27.36,low
35.77,48.79,15.31,13.85,0,43,9.17,128.3,31,0,51.68,medium
11.18,8.94,25.09,18.58,0,3,16.43,172.6,46,3,82.26,critical
84.19,81.19,4.56,1.89,0,164,2.96,7.2,4,1,15.34,low
28.8,20.69,12.48,8.68,1,29,8.03,122.9,25,3,65.27,high
99.61,95.39,1.06,1.19,0,202,2.95,26.9,2,1,7.17,low
88.24,92.35,4.73,1.67,0,283,1.85,23.0,6,2,12.01,low
10.8,9.95,23.35,18.56,1,1,17.79,175.7,41,3,89.85,critical
77.25,50.12,8.23,4.38,0,34,4.08,39.6,17,1,29.59,low
69.31,68.39,13.61,6.6,0,128,3.66,61.2,24,1,31.2,medium
55.64,60.04,13.13,7.17,0,149,5.43,50.6,15,3,38.26,medium
4.17,0.26,25.64,16.77,1,2,16.03,178.4,44,3,92.46,critical
65.98,59.71,7.54,7.02,0,105,4.3,88.6,23,2,33.42,medium
95.95,93.37,4.26,2.01,0,252,2.94,7.1,5,0,8.04,low
56.18,46.21,7.58,4.34,1,57,5.96,34.9,19,3,46.14,medium
93.27,75.48,3.96,0.66,0,164,0.58,16.3,8,2,13.9,low
78.81,66.6,6.73,9.44,0,38,7.69,51.8,10,2,31.25,medium
26.24,34.14,20.26,13.75,0,41,10.57,128.9,27,1,60.56,high
6.89,13.62,28.66,19.06,1,2,19.95,152.3,49,3,94.19,critical
81.94,76.56,4.39,0.59,0,128,0.28,20.8,9,1,15.51,low
75.25,70.45,9.9,6.02,1,140,3.98,74.7,5,1,34.31,medium
1.87,2.8,26.95,16.9,1,7,17.88,155.5,42,2,92.23,critical
85.62,87.62,3.31,1.36,0,213,0.61,2.0,9,1,11.24,low
12.92,0.66,22.16,18.1,1,5,16.52,174.7,46,2,88.5,critical
99.75,76.71,0.57,1.37,0,250,1.46,14.8,3,3,11.31,low
4.49,3.94,25.63,17.85,0,1,19.53,161.6,44,3,86.01,critical
81.57,91.02,3.08,0.17,0,260,0.79,7.9,1,1,9.79,low
76.71,58.95,5.08,4.42,1,96,6.74,86.0,11,3,38.65,medium
5.22,7.08,26.24,18.46,1,4,19.15,162.7,45,1,91.05,critical
44.94,24.53,20.51,9.26,0,14,11.01,116.9,27,2,57.74,medium
9.08,12.29,28.16,18.24,1,2,16.96,174.7,43,3,91.53,critical
34.11,32.4,15.36,14.75,1,24,12.27,71.7,35,3,68.64,high
3.32,8.71,29.19,18.48,1,1,18.48,177.8,48,3,95.43,critical
46.32,43.76,21.54,13.34,0,29,12.89,101.4,29,3,58.58,medium
49.18,23.45,13.01,9.99,0,59,12.37,86.0,27,3,54.73,medium
7.89,0.76,29.23,18.46,1,1,17.69,170.1,48,3,95.22,critical
64.25,66.08,10.3,9.79,0,124,6.4,39.1,24,1,33.98,medium
5.98,11.17,23.71,19.42,1,4,17.51,160.7,42,3,90.83,critical
50.5,49.82,15.35,8.69,1,22,11.82,87.5,25,2,56.84,medium
11.39,12.18,24.98,16.51,1,4,17.99,151.2,47,3,89.08,critical
80.65,85.28,3.99,0.31,0,227,1.01,11.7,7,0,11.32,low
11.1,13.61,22.72,16.8,1,6,18.32,151.6,44,3,87.91,critical
76.42,49.98,14.93,5.12,0,133,3.07,53.1,7,0,29.53,low
2.68,6.29,28.39,17.67,1,7,17.2,150.6,48,3,93.78,critical
44.32,24.82,18.04,14.93,1,11,13.91,93.8,37,3,70.91,high
66.99,53.7,8.01,9.44,0,111,7.19,31.9,18,0,33.04,medium
35.1,48.07,21.83,14.9,1,20,8.47,85.3,33,3,66.61,high
83.33,92.43,3.85,2.87,0,201,1.62,15.9,1,0,10.99,low
85.86,93.55,1.77,2.04,0,244,0.97,24.5,3,1,9.56,low
33.52,25.76,18.38,11.17,0,20,13.74,98.2,21,2,60.66,high
41.44,27.31,15.48,14.24,0,49,10.75,82.4,35,2,57.41,medium
73.69,60.66,12.52,7.05,0,144,6.66,46.2,23,2,33.85,medium
43.74,46.35,16.13,12.42,0,38,9.79,108.4,35,2,53.02,medium
84.48,84.36,4.62,2.98,0,257,1.85,4.6,5,2,14.72,low
69.76,55.32,14.0,5.29,0,42,6.28,23.6,5,2,34.68,medium
45.61,24.9,20.47,13.75,0,36,10.41,135.3,30,3,61.08,high
0.65,11.26,24.89,16.93,0,2,16.99,157.3,42,3,82.93,critical
11.13,13.07,24.79,16.85,1,1,19.17,150.3,45,3,89.62,critical
77.97,51.51,9.86,9.92,0,73,5.11,33.1,19,2,34.15,medium
97.26,78.07,0.37,2.02,0,287,2.93,15.4,3,0,8.24,low
70.23,46.38,6.61,4.63,0,35,5.12,62.0,22,1,32.68,medium
89.85,95.68,4.56,0.01,0,226,1.1,7.9,6,0,7.45,low
95.3,76.42,3.42,1.74,0,259,0.25,16.1,5,0,9.2,low
25.58,48.71,17.9,9.02,1,27,11.58,109.7,20,2,63.77,high
59.0,52.25,6.28,7.37,0,94,6.3,41.3,14,3,36.8,medium
78.23,68.46,12.76,8.9,0,53,5.49,46.7,11,2,32.05,medium
66.65,62.82,10.75,6.63,0,35,6.01,77.5,9,3,35.94,medium
8.81,6.62,27.02,18.84,1,7,18.26,150.7,46,1,90.12,critical
95.22,88.81,4.17,2.17,0,126,2.38,15.5,4,3,14.51,low
12.66,13.95,22.18,19.79,1,5,16.84,162.9,43,2,86.71,critical
47.02,24.64,12.91,11.59,0,13,13.12,100.0,32,3,57.52,medium
67.66,54.8,14.05,9.26,0,77,5.0,74.1,7,2,37.28,medium
3.21,11.55,29.67,17.08,1,2,18.16,162.1,43,2,92.18,critical
65.99,47.34,10.1,4.88,0,77,4.46,25.4,13,2,34.03,medium
7.67,12.02,23.49,19.11,1,5,17.25,176.1,48,3,90.7,critical
79.6,72.67,12.59,5.84,0,55,3.38,65.8,11,2,28.5,low
61.78,62.93,9.92,7.8,1,54,6.01,86.1,15,2,44.28,medium
75.53,68.33,7.7,6.17,0,137,7.39,59.3,11,2,29.23,low
38.01,47.18,17.24,10.26,1,45,12.6,112.6,32,1,61.68,high
4.31,8.33,22.99,19.9,1,5,18.67,170.0,47,2,91.57,critical
80.23,90.64,3.52,2.55,0,139,2.16,14.5,2,1,14.21,low
93.17,85.75,2.44,0.27,0,141,1.25,23.6,8,1,10.71,low
30.25,47.85,14.71,14.34,0,46,13.54,118.0,30,1,56.64,medium
3.49,14.39,27.64,17.13,1,2,17.31,168.0,41,2,90.15,critical
73.51,69.34,8.94,5.4,0,56,3.39,84.0,8,1,27.34,low
66.64,68.19,5.73,8.34,1,63,5.66,31.2,15,3,40.35,medium
95.61,94.13,0.92,2.32,0,140,0.13,3.2,6,2,9.04,low
73.37,45.9,10.3,4.8,1,81,5.05,74.5,21,1,41.42,medium
7.87,5.4,26.91,17.88,1,4,17.44,163.0,45,3,92.42,critical
7.49,5.07,28.48,18.99,1,3,19.99,180.0,47,1,93.28,critical
14.65,0.72,26.4,18.43,1,5,17.32,167.3,45,3,91.82,critical
80.36,99.2,2.51,2.31,0,275,0.84,5.7,6,2,10.9,low
30.66,37.45,20.44,13.73,0,49,8.22,137.4,28,3,60.49,high
1.79,12.88,28.28,18.79,0,7,17.56,151.9,41,1,82.31,critical
82.08,98.22,4.27,2.11,0,144,0.48,5.3,4,1,11.45,low
50.67,39.45,16.62,11.42,0,13,13.57,62.0,31,2,53.71,medium
25.35,31.49,17.7,13.54,1,14,9.59,62.5,32,2,67.97,high
47.47,21.96,19.72,13.01,1,31,9.4,102.4,21,2,65.16,high
97.74,81.05,2.88,1.57,0,238,2.94,29.5,9,2,12.67,low
5.11,13.71,26.49,17.85,1,5,16.46,163.2,46,3,90.81,critical
0.4,7.23,22.9,17.42,1,2,16.08,171.4,43,3,90.87,critical
9.04,11.65,28.98,19.11,1,7,18.97,159.6,49,3,93.75,critical
25.62,26.98,14.83,11.37,0,59,10.08,65.7,22,0,54.6,medium
72.71,66.49,14.09,7.86,0,51,5.83,28.7,13,3,35.04,medium
97.05,98.22,2.72,2.35,0,136,1.34,11.1,5,0,7.05,low
74.05,68.77,14.6,4.07,0,63,7.52,57.4,24,1,32.38,medium
76.88,71.97,7.85,9.87,1,89,7.65,26.0,12,2,38.34,medium
36.06,26.06,20.64,8.21,0,31,10.26,80.5,29,3,58.97,medium
48.62,47.37,21.7,10.73,1,16,11.25,128.3,37,0,60.62,high
9.3,13.52,25.55,18.15,1,5,16.07,155.8,44,3,89.07,critical
87.16,81.31,1.1,1.59,0,158,2.57,22.6,4,0,11.76,low
7.53,0.17,29.05,18.6,1,7,19.31,176.0,41,3,95.86,critical
29.38,43.46,18.57,9.17,1,38,10.87,139.5,36,1,64.29,high
6.86,6.68,26.38,16.04,1,4,19.17,170.2,40,3,92.05,critical
27.14,41.6,18.16,9.35,0,48,11.8,71.9,36,2,57.28,medium
92.07,87.31,4.83,0.89,0,177,0.23,23.0,3,1,10.59,low
6.02,2.5,26.03,18.65,1,2,19.1,175.4,49,3,94.95,critical
37.67,43.41,18.28,13.1,1,52,12.76,60.4,21,2,63.63,high
91.71,89.33,2.56,1.66,0,201,0.22,0.1,8,3,11.87,low
31.67,24.97,17.57,10.39,1,55,9.83,127.5,36,2,67.48,high
62.34,57.23,10.07,8.19,1,79,3.63,68.9,5,1,41.17,medium
84.58,92.67,3.83,1.01,0,281,1.72,14.3,0,2,11.27,low
41.15,48.56,14.08,10.11,0,43,8.28,133.3,31,2,50.34,medium
1.14,7.87,29.7,19.74,1,5,16.77,171.3,45,2,94.13,critical
52.99,37.68,19.75,9.13,0,39,13.7,122.4,22,3,55.52,medium
98.85,98.79,2.09,2.54,1,291,0.83,26.6,7,2,15.15,low
28.43,39.84,21.6,13.55,1,58,10.99,65.7,26,1,66.13,high
4.27,1.91,26.0,17.42,1,6,17.11,151.0,45,3,92.7,critical
7.59,12.05,26.51,16.87,1,4,17.33,159.8,41,3,90.15,critical
7.82,14.08,27.12,18.5,1,6,18.0,176.7,41,3,91.58,critical
43.98,33.51,18.97,14.38,0,40,11.56,125.8,29,2,58.52,medium
89.69,86.47,3.8,1.96,0,102,0.2,26.2,5,0,11.2,low
39.14,27.82,20.95,9.77,1,55,8.35,98.6,37,3,66.47,high
71.61,49.69,5.49,8.14,0,36,4.87,86.4,7,2,33.52,medium
30.41,48.03,17.31,13.5,0,13,13.29,129.8,26,2,58.93,medium
12.28,14.44,22.04,17.32,1,1,17.7,153.1,46,2,86.0,critical
50.04,48.64,12.58,13.51,1,56,12.46,139.8,21,3,60.38,high
26.38,43.63,20.11,8.27,0,51,10.01,127.4,34,1,56.07,medium
70.17,54.07,5.51,4.66,0,50,4.44,47.6,22,1,29.88,low
37.73,32.68,21.55,13.1,0,35,8.14,127.3,24,3,59.59,medium
2.07,11.17,22.28,19.47,1,2,19.59,161.8,44,3,92.51,critical
46.34,41.16,12.96,8.91,0,12,12.6,115.7,33,3,53.51,medium
33.9,25.31,14.51,8.94,1,47,9.71,87.4,23,1,61.54,high
63.85,51.29,14.92,5.52,0,79,4.5,83.8,17,0,35.31,medium
0.57,2.05,26.09,17.2,1,4,19.38,158.2,48,3,95.21,critical
9.53,4.57,25.3,18.79,1,6,18.36,172.7,48,3,92.89,critical
76.94,74.47,10.75,7.26,0,142,3.5,88.7,14,2,28.28,low
80.72,77.96,0.44,1.63,0,145,2.04,27.8,3,0,13.38,low
57.02,59.88,9.28,8.53,0,68,7.73,52.5,20,1,37.11,medium
93.24,85.16,1.86,2.96,0,175,0.7,15.6,5,1,10.67,low
93.08,79.52,0.76,2.85,0,218,2.72,14.5,8,0,10.67,low
12.2,6.84,27.72,19.68,1,5,17.42,158.5,44,2,90.96,critical
73.02,59.74,10.41,4.86,1,121,3.3,78.5,10,1,36.71,medium
59.34,66.2,9.19,9.37,0,129,5.72,54.4,8,2,34.23,medium
29.49,31.12,15.41,14.69,0,19,10.65,104.0,33,3,61.53,high
26.79,40.47,20.87,8.04,1,15,10.55,115.7,37,2,66.91,high
64.76,55.99,6.17,7.89,0,113,4.31,80.4,5,1,31.09,medium
44.01,35.38,12.57,9.81,0,29,11.16,132.2,21,3,53.65,medium
4.13,11.58,24.91,19.21,1,2,17.37,168.5,45,3,91.98,critical
67.19,74.06,11.87,9.75,0,53,3.95,23.5,8,2,31.79,medium
14.34,1.98,22.99,18.53,1,6,17.5,163.7,44,2,88.73,critical
0.89,7.58,22.37,18.13,1,6,17.38,162.2,40,3,91.09,critical
81.35,99.13,0.65,0.43,0,150,1.5,3.9,9,1,9.82,low
62.21,46.98,9.09,4.97,0,112,7.0,43.9,22,2,36.69,medium
12.07,9.2,25.9,19.4,1,7,17.9,175.9,47,3,91.79,critical
28.86,37.0,12.81,8.02,1,57,10.44,137.0,37,1,61.82,high
52.95,21.07,19.29,14.17,0,44,10.71,71.3,24,2,56.66,medium
11.89,11.04,24.69,17.9,1,5,16.35,164.8,45,3,88.87,critical
73.77,46.17,5.55,4.55,1,53,5.23,36.5,6,2,38.72,medium
95.01,95.27,2.86,0.95,0,279,1.14,4.8,4,0,5.15,low
80.83,84.91,2.34,2.85,0,178,0.4,8.3,7,1,13.39,low
8.42,13.61,22.75,17.15,1,3,16.99,174.4,46,3,88.6,critical
70.68,47.76,14.08,5.59,0,67,4.62,77.3,23,0,34.66,medium
51.83,32.97,18.41,11.61,1,24,11.75,111.3,33,1,62.24,high
