currentStock,averageDailyDemand,leadTimeDays,demandVariance,supplierRiskScore,safetyStock,reorderPoint,incomingStockDays,pendingOrderQty,isCriticalItem,riskScore,riskTier
1897.43,85.69,7.83,23.83,11.48,338.82,674.34,0.0,0.0,0,5.76,low
1086.05,92.11,22.41,38.06,46.19,365.99,1398.26,0.0,0.0,1,27.51,low
121.22,15.44,19.01,58.61,44.27,81.06,227.82,0.0,0.0,1,38.27,medium
2661.55,135.58,32.77,72.62,22.9,1018.4,3240.04,0.0,0.0,0,16.76,low
43.44,109.98,51.56,131.2,87.26,352.9,3188.22,0.0,0.0,1,81.65,critical
2947.73,73.13,15.98,20.09,12.89,578.64,1163.05,0.0,0.0,0,6.98,low
644.54,80.02,39.8,71.36,76.91,654.97,2247.43,38.6,1566.98,1,47.18,medium
112.23,146.63,53.5,137.43,90.0,636.3,4558.49,0.0,0.0,1,79.8,high
4672.91,91.62,9.15,10.29,23.36,675.17,1094.41,0.0,0.0,0,5.37,low
65.29,45.31,42.05,115.15,97.94,243.28,1195.79,0.0,0.0,1,76.86,high
5014.68,185.78,6.34,10.25,11.18,965.11,1553.66,0.0,0.0,0,2.85,low
656.31,86.58,45.92,73.78,57.41,765.39,2753.14,45.7,1169.34,0,40.19,medium
1603.38,65.9,10.38,69.0,22.54,538.02,880.14,7.9,996.83,0,12.76,low
1260.5,137.35,36.55,117.97,67.71,1095.47,3605.59,0.0,0.0,0,35.01,medium
3320.56,137.13,18.23,77.31,54.82,1322.46,2572.3,14.4,1727.67,0,13.31,low
1118.71,89.53,11.47,58.28,43.58,436.65,949.88,1.9,1733.99,0,9.17,low
1259.05,65.49,16.68,68.58,38.74,561.42,1107.56,0.0,0.0,1,28.87,low
164.72,109.86,52.3,121.71,91.98,592.51,3465.0,0.0,0.0,0,67.37,high
149.25,100.7,52.81,149.34,86.7,795.69,3454.47,0.0,0.0,1,79.42,high
290.48,131.84,43.79,67.77,58.96,576.13,3462.98,9.0,2018.25,1,55.8,medium
111.27,111.7,41.52,132.64,89.79,649.94,2968.55,0.0,0.0,0,68.84,high
39.29,132.73,51.06,144.27,85.79,1103.04,4491.79,0.0,0.0,1,83.95,critical
2275.83,92.17,10.57,3.8,20.11,377.66,864.72,0.0,0.0,0,4.32,low
2195.7,184.5,18.46,22.12,35.69,1371.93,3074.59,3.1,3193.49,0,8.08,low
3002.05,123.07,34.32,40.0,53.17,1230.65,3342.28,0.0,0.0,0,16.69,low
5.81,5.74,49.85,140.88,78.27,46.56,189.53,42.6,102.41,1,78.58,high
54.4,104.48,45.97,118.05,96.53,663.91,3065.35,0.0,0.0,1,83.1,critical
151.59,86.44,52.12,142.25,84.96,613.88,2866.74,0.0,0.0,1,77.28,high
161.57,15.06,34.57,91.78,59.44,141.56,401.81,33.2,169.57,0,33.55,medium
693.65,37.04,18.88,0.83,0.63,191.51,541.23,0.0,0.0,0,2.86,low
1680.16,160.43,38.93,82.99,73.54,1520.06,4642.63,3.5,921.82,1,38.16,medium
2614.15,123.07,22.24,68.69,21.46,1060.04,2428.5,0.0,0.0,1,22.24,low
117.11,152.76,58.91,143.53,95.49,846.89,5346.36,0.0,0.0,1,82.32,critical
559.14,86.18,28.51,86.7,75.81,776.69,2005.01,0.0,0.0,0,45.72,medium
2047.88,178.71,5.91,0.27,18.58,621.65,1150.17,0.0,0.0,0,3.04,low
2525.28,109.21,8.4,1.02,2.7,480.72,939.37,0.0,0.0,0,1.56,low
12.59,66.05,42.26,133.24,88.5,513.68,1909.31,0.0,0.0,1,83.45,critical
41.1,169.53,52.96,124.82,96.17,516.67,5005.37,0.0,0.0,1,81.06,critical
4904.77,147.84,15.03,15.85,10.64,883.33,1994.29,0.0,0.0,0,4.57,low
368.82,158.48,34.5,92.64,54.53,548.29,3281.75,0.0,0.0,1,53.3,medium
1194.53,121.2,36.98,100.3,59.86,1039.88,3281.01,12.6,844.37,0,30.72,medium
2020.95,122.89,24.99,76.62,44.98,1111.86,2647.39,0.0,0.0,0,20.47,low
169.43,11.11,14.12,29.72,8.41,55.8,134.25,9.5,115.22,0,11.92,low
201.06,155.93,46.57,148.08,94.38,693.8,4324.89,0.0,0.0,1,75.98,high
966.7,168.78,11.94,75.35,20.53,738.08,1745.75,0.0,0.0,1,27.45,low
45.49,20.86,57.23,149.79,88.37,200.02,796.87,0.0,0.0,0,68.84,high
511.21,18.06,18.55,7.34,5.36,141.19,308.68,0.0,0.0,0,7.99,low
4699.27,128.11,18.76,27.92,8.48,1086.16,2287.96,0.0,0.0,0,6.13,low
4156.2,164.66,22.31,73.53,36.76,1471.4,3308.33,9.6,2204.25,1,19.26,low
140.32,32.29,37.24,103.64,67.64,143.05,744.35,0.0,0.0,1,50.22,medium
2112.24,184.16,24.17,54.3,40.04,1017.23,3242.43,19.6,1840.52,0,16.14,low
154.74,154.41,41.5,133.94,84.77,895.73,4099.37,36.2,1084.53,1,75.72,high
527.09,133.95,26.7,113.26,54.83,792.45,2580.96,0.0,0.0,1,53.99,medium
1265.81,73.29,21.55,31.72,41.16,606.76,1396.48,0.0,0.0,0,14.69,low
492.82,29.05,32.59,62.99,39.79,208.25,681.64,31.6,284.21,0,25.25,low
319.28,30.35,10.43,32.73,32.5,106.92,265.25,0.0,0.0,0,17.29,low
1461.02,85.35,34.79,54.72,30.15,756.04,2240.64,0.0,0.0,0,22.21,low
129.21,59.26,41.13,141.01,93.98,564.87,1783.56,0.0,0.0,1,77.05,high
6742.24,140.93,8.06,3.0,0.65,1396.14,1963.97,0.0,0.0,1,11.41,low
515.17,84.65,45.63,71.14,61.2,529.87,2461.24,29.0,1264.88,0,36.43,medium
505.08,27.36,11.48,72.74,30.14,256.73,413.75,6.8,142.77,0,14.59,low
3967.94,64.56,11.25,0.24,9.33,575.93,939.02,0.0,0.0,0,2.66,low
1177.04,191.66,34.18,63.58,50.69,1765.16,5040.98,0.0,0.0,1,47.75,medium
80.99,99.57,48.11,140.47,79.12,368.99,2764.15,0.0,0.0,1,77.24,high
29.51,28.66,57.5,141.42,95.31,247.56,1071.5,0.0,0.0,1,83.27,critical
1280.26,56.16,5.07,2.92,20.03,305.54,448.0,0.0,0.0,0,3.7,low
1025.67,198.07,47.3,63.31,58.6,1387.72,6072.24,16.8,3368.91,1,46.28,medium
489.78,19.38,11.31,22.71,16.22,81.05,190.69,0.0,0.0,0,15.45,low
12.01,178.32,50.14,148.09,96.92,673.93,5144.46,17.3,3011.37,1,80.6,critical
2070.87,96.39,8.47,10.78,12.79,314.6,722.67,0.0,0.0,0,4.01,low
69.52,103.62,45.74,135.98,78.06,653.56,3023.28,0.0,0.0,1,80.07,critical
122.31,25.65,26.88,113.68,77.86,227.72,572.48,0.0,0.0,1,62.04,high
1083.34,17.06,9.75,16.19,2.19,160.14,243.35,0.0,0.0,0,12.95,low
14.07,165.43,51.29,134.1,75.8,632.82,4875.51,0.0,0.0,1,80.99,critical
101.84,15.87,38.53,94.92,57.14,113.69,419.43,0.0,0.0,0,40.54,medium
922.35,120.0,34.21,88.34,53.37,1114.2,3166.66,16.7,1177.88,1,44.87,medium
640.61,40.37,15.68,14.99,4.47,123.43,439.81,0.0,0.0,0,7.08,low
1440.37,55.66,6.84,27.86,11.1,413.02,603.37,0.0,0.0,0,8.25,low
1742.51,89.67,28.02,32.28,38.47,649.58,1905.8,15.4,689.76,0,11.95,low
59.37,12.1,39.2,114.89,59.34,52.29,289.46,26.4,110.38,1,46.93,medium
472.94,65.39,38.64,74.4,62.0,417.26,1680.64,0.0,0.0,0,37.53,medium
1761.65,151.63,28.06,61.22,41.73,896.16,3023.62,19.2,1032.66,0,19.4,low
86.14,103.6,40.96,115.59,91.26,335.1,2456.92,0.0,0.0,1,76.58,high
438.24,72.04,46.32,97.28,73.64,529.19,2197.65,0.0,0.0,0,46.24,medium
860.42,197.75,47.28,93.7,54.37,1128.26,5803.58,0.0,0.0,0,40.49,medium
166.72,25.8,43.62,95.43,66.79,201.86,764.57,0.0,0.0,1,54.78,medium
2086.33,46.31,9.21,27.81,9.85,396.33,609.5,6.1,281.74,1,16.78,low
327.76,116.07,47.65,78.97,70.76,626.87,3392.02,0.0,0.0,1,62.63,high
1314.88,179.19,34.82,77.74,32.12,638.99,3758.54,15.5,2240.74,1,32.57,medium
1989.52,135.67,6.35,25.59,20.14,460.42,890.88,4.0,825.35,0,1.85,low
1883.42,89.4,12.0,32.81,33.4,668.03,1204.45,0.0,0.0,0,10.01,low
312.25,159.56,49.39,120.62,76.21,1374.68,5314.79,13.3,975.68,1,70.52,high
6593.37,112.35,19.3,22.26,24.56,1096.07,2180.36,0.0,0.0,0,7.9,low
2386.87,53.93,6.0,10.37,5.58,343.55,505.31,0.0,0.0,0,3.78,low
576.65,21.33,9.26,10.17,3.19,91.85,190.6,0.0,0.0,0,7.34,low
57.41,164.25,57.37,149.2,90.46,671.57,5382.87,0.0,0.0,0,72.82,high
29.08,14.25,50.14,124.28,86.42,102.04,459.38,0.0,0.0,1,75.94,high
24.96,63.58,46.67,131.93,77.37,449.01,1932.9,0.0,0.0,1,81.72,critical
1614.38,80.96,13.78,22.43,16.28,353.59,911.24,0.0,0.0,0,7.12,low
6503.9,110.86,12.73,7.27,20.66,1014.46,1720.12,0.0,0.0,0,4.96,low
103.35,52.05,51.1,135.65,77.52,365.23,1695.01,3.7,709.63,1,71.18,high
405.39,70.78,36.29,107.49,58.02,399.71,1684.12,28.3,624.85,1,46.09,medium
111.36,31.65,28.96,62.25,62.28,147.1,605.45,20.1,632.98,1,52.03,medium
3576.06,54.07,11.88,16.37,0.32,534.66,855.77,7.5,654.98,0,1.46,low
1585.19,77.84,11.87,5.61,9.26,281.7,743.63,0.0,0.0,0,3.56,low
872.81,94.29,11.67,24.47,22.49,536.57,1086.89,0.0,0.0,0,10.91,low
56.21,162.62,59.26,112.62,94.19,914.33,5732.6,0.0,0.0,1,81.62,critical
2482.68,119.19,30.79,52.86,40.34,1079.67,2914.87,6.8,1697.54,0,13.06,low
812.16,176.96,42.27,83.31,73.57,1574.62,5314.95,7.3,2766.94,0,45.1,medium
231.5,95.66,51.45,127.66,98.04,816.08,3276.68,0.0,0.0,1,77.41,high
708.21,28.19,13.36,71.71,52.77,253.2,441.55,8.8,381.4,0,16.41,low
703.47,105.48,42.13,87.48,75.51,953.39,3175.47,0.0,0.0,1,55.98,medium
126.32,10.66,25.83,33.29,21.36,81.98,219.64,0.0,0.0,0,25.66,low
507.46,192.85,43.14,73.52,73.08,634.73,4795.05,27.2,1997.24,0,38.91,medium
327.04,197.7,45.51,143.41,80.38,1311.39,5810.03,0.0,0.0,1,72.42,high
816.04,26.09,11.08,1.89,14.13,203.16,347.64,0.0,0.0,0,4.04,low
140.16,57.53,38.88,92.17,68.12,274.48,1392.77,36.6,1030.61,0,53.89,medium
3675.65,90.83,5.38,6.46,13.1,667.6,911.9,0.0,0.0,0,3.14,low
2835.74,132.86,16.75,18.48,10.2,803.58,1916.58,0.0,0.0,0,5.13,low
232.02,196.2,46.33,145.2,90.09,1271.37,5816.3,0.0,0.0,1,76.04,high
82.47,6.43,23.28,41.05,50.57,62.66,137.48,0.0,0.0,0,28.37,low
131.26,9.67,22.19,21.64,31.78,63.05,170.38,5.7,110.73,0,19.01,low
1437.38,114.04,19.0,55.92,25.61,1039.55,2122.68,0.0,0.0,0,17.3,low
60.7,136.58,51.38,121.14,88.35,1284.42,4793.38,0.0,0.0,0,72.55,high
765.76,70.17,24.11,31.02,41.42,291.82,1137.61,8.1,1046.3,1,25.51,low
2559.51,80.91,10.49,27.1,10.54,493.29,917.66,0.0,0.0,0,6.68,low
407.54,21.33,26.02,42.58,44.59,145.94,423.42,0.0,0.0,0,21.5,low
4035.96,133.27,8.4,11.92,14.63,881.64,1441.3,0.0,0.0,0,3.95,low
1841.41,190.53,15.6,31.54,44.28,1025.72,2511.42,2.7,3557.04,0,8.78,low
321.03,120.99,31.77,100.47,52.64,471.75,2393.83,0.0,0.0,0,45.05,medium
125.74,79.19,54.93,126.19,84.39,678.32,2853.33,0.0,0.0,1,79.47,high
4683.47,194.64,9.06,8.41,4.58,1363.66,2245.12,0.0,0.0,0,2.28,low
236.93,12.73,28.33,72.06,44.03,102.37,282.69,0.0,0.0,0,23.97,low
27.73,112.11,50.93,126.34,75.83,899.33,3754.33,0.0,0.0,1,82.89,critical
2666.7,86.03,16.66,1.48,21.24,659.32,1376.13,0.0,0.0,0,4.98,low
134.69,141.04,48.11,148.42,90.03,586.33,3978.71,0.0,0.0,1,78.18,high
1765.68,73.47,6.76,28.96,6.08,294.03,542.43,0.0,0.0,0,6.36,low
26.03,104.18,51.3,120.25,91.32,344.42,3016.49,0.0,0.0,1,83.53,critical
8752.71,182.67,9.21,13.63,0.6,1459.92,2301.31,0.0,0.0,0,2.2,low
2218.36,153.28,30.34,42.35,36.51,1126.58,3451.72,0.0,0.0,0,18.17,low
234.75,181.69,54.25,138.43,79.61,1628.26,6556.82,0.0,0.0,0,67.25,high
625.33,117.97,29.45,101.0,74.98,720.53,2457.41,0.0,0.0,0,40.32,medium
12.71,9.47,40.63,132.97,81.91,88.07,280.51,0.0,0.0,1,78.39,high
1004.32,153.33,32.63,85.78,62.79,1032.73,3534.65,0.0,0.0,1,42.26,medium
97.74,70.33,43.08,142.39,81.64,447.53,1962.54,0.0,0.0,1,76.53,high
78.47,13.94,26.44,71.65,53.47,77.56,261.76,0.0,0.0,0,34.55,medium
43.23,23.41,28.4,72.1,72.99,78.59,411.08,16.9,357.84,1,60.48,high
223.15,100.63,57.44,144.44,99.98,844.34,3734.32,0.0,0.0,1,79.18,high
1120.67,130.08,10.28,51.02,30.8,447.33,1116.03,0.0,0.0,1,19.77,low
259.28,141.69,45.55,115.02,81.99,1226.26,4453.47,0.0,0.0,0,64.69,high
975.02,185.53,43.67,74.02,54.64,1160.73,5211.59,0.0,0.0,0,36.28,medium
141.46,142.75,50.08,131.6,99.98,815.8,4389.91,0.0,0.0,1,80.3,critical
1915.3,89.11,7.66,25.77,8.32,298.92,640.4,0.0,0.0,0,5.49,low
51.69,175.31,54.36,142.47,80.04,1127.29,5892.17,0.0,0.0,0,71.16,high
674.62,55.51,25.7,70.92,37.77,459.75,1173.16,6.8,818.32,1,33.6,medium
137.81,199.48,47.4,140.01,79.53,950.53,5678.37,0.0,0.0,1,75.79,high
527.66,107.11,45.84,113.14,51.85,830.58,3285.51,0.0,0.0,1,59.65,medium
3727.97,193.82,33.93,42.38,32.15,1460.36,4748.83,0.0,0.0,0,14.88,low
499.65,68.56,30.3,97.54,62.97,605.85,1644.51,0.0,0.0,0,41.04,medium
2983.71,83.92,16.06,27.73,11.37,697.63,1371.54,0.0,0.0,0,7.47,low
5263.29,145.31,8.33,15.43,7.19,866.91,1472.34,4.2,1190.77,0,0.0,low
511.1,80.97,40.57,100.38,66.32,518.41,2160.83,0.0,0.0,0,39.51,medium
102.98,45.68,27.87,75.91,62.18,169.09,805.59,0.0,0.0,0,49.82,medium
2123.58,138.76,13.82,71.55,20.63,734.21,1693.01,0.0,0.0,0,10.51,low
176.59,54.25,29.59,65.4,53.79,199.51,1002.15,0.0,0.0,1,50.45,medium
7869.32,182.48,9.48,4.33,10.11,1351.45,2216.73,4.9,1641.95,0,0.0,low
3454.5,189.99,11.5,43.96,53.73,1836.48,2929.3,9.9,1047.07,0,9.06,low
454.05,147.42,40.64,98.63,64.93,564.64,3560.05,0.0,0.0,0,42.43,medium
7.82,34.59,51.81,125.07,95.65,135.07,1031.17,0.0,0.0,1,84.63,critical
275.09,127.43,47.03,117.48,81.35,1002.11,3998.76,0.0,0.0,1,74.17,high
1514.69,96.4,16.58,39.33,32.65,756.27,1555.61,0.0,0.0,1,21.5,low
59.39,6.2,6.29,25.23,2.43,19.71,39.21,0.0,0.0,0,13.13,low
2379.67,111.2,20.65,69.57,40.6,955.75,2103.82,0.0,0.0,1,25.13,low
5996.91,98.39,5.66,13.7,7.3,921.31,1199.64,0.0,0.0,0,3.3,low
3184.66,127.84,18.06,11.11,5.82,546.18,1700.68,0.0,0.0,0,4.15,low
323.87,63.43,49.5,76.4,58.61,496.07,2066.05,0.0,0.0,0,50.53,medium
328.59,24.43,28.15,47.8,22.59,166.72,510.66,0.0,0.0,1,34.88,medium
939.49,120.92,20.24,57.73,34.8,605.04,1828.85,13.7,1079.8,1,29.13,low
921.83,153.38,17.13,57.9,24.14,663.26,1976.69,0.0,0.0,0,19.32,low
15.12,27.24,58.7,133.03,97.31,141.03,940.53,0.0,0.0,1,84.21,critical
269.06,6.76,7.08,19.35,10.07,62.08,86.02,0.0,0.0,0,14.15,low
226.33,197.36,50.8,121.04,91.11,1035.33,6048.3,0.0,0.0,0,64.27,high
245.79,46.11,29.04,110.23,70.8,335.34,1004.78,10.1,710.7,1,51.84,medium
1714.41,93.04,12.65,64.38,30.44,809.39,1398.12,0.0,0.0,0,13.64,low
2.51,6.75,56.07,128.89,89.67,30.97,220.16,0.0,0.0,1,83.76,critical
1479.16,96.6,12.13,52.67,35.73,726.41,1312.23,0.0,0.0,0,12.45,low
11.53,44.63,45.75,117.18,84.16,263.74,1284.53,0.0,0.0,0,72.81,high
2971.3,196.03,11.37,57.76,23.33,1804.66,2919.37,0.0,0.0,0,7.85,low
966.07,105.51,32.69,22.25,44.7,382.7,2107.05,20.5,862.43,1,30.07,medium
2224.5,171.83,15.89,55.3,35.8,1335.71,2701.29,0.0,0.0,0,13.45,low
333.41,39.89,44.06,103.54,58.53,327.96,1206.8,7.6,376.33,0,34.5,medium
128.14,184.18,44.58,126.26,91.87,1625.29,5731.03,0.0,0.0,1,78.59,high
4554.82,188.93,14.8,17.64,5.39,1043.7,2441.83,0.0,0.0,0,3.74,low
3522.73,151.65,12.11,25.79,17.03,792.21,1710.13,0.0,0.0,0,5.7,low
493.21,44.37,36.26,99.79,60.92,439.15,1243.68,0.0,0.0,0,35.01,medium
6.38,13.92,41.86,136.15,82.75,68.75,360.07,35.0,144.79,1,79.4,high
1774.74,102.38,15.54,40.77,29.26,641.23,1436.69,0.0,0.0,1,20.36,low
1728.85,138.32,26.31,31.31,51.24,1302.52,3122.42,6.5,1663.12,0,16.63,low
2184.46,53.04,18.23,11.03,5.39,480.62,964.14,0.0,0.0,0,5.57,low
1816.28,127.22,25.58,32.3,52.57,1144.98,2772.16,0.0,0.0,1,28.97,low
16.29,31.55,42.41,147.57,89.24,218.88,887.9,0.0,0.0,1,81.95,critical
281.66,186.95,42.74,134.97,89.93,1065.45,5060.51,0.0,0.0,1,72.75,high
1.23,83.62,58.38,136.96,93.95,384.23,2824.79,0.0,0.0,1,86.96,critical
7072.93,125.74,19.25,4.71,11.91,1079.45,2289.91,3.2,1471.39,0,0.01,low
538.08,108.75,33.26,72.53,71.29,913.47,2721.63,0.0,0.0,0,46.94,medium
5.91,7.28,40.93,113.36,93.79,71.27,220.33,0.0,0.0,1,81.91,critical
4350.34,161.05,13.0,28.8,23.2,906.77,1953.95,0.0,0.0,0,6.66,low
747.76,137.93,26.15,66.52,67.3,1373.12,3176.42,15.7,2023.29,0,41.06,medium
415.76,74.14,39.65,98.94,73.31,566.47,2036.31,0.0,0.0,1,57.86,medium
453.82,170.07,43.68,80.95,68.87,759.87,4474.57,0.0,0.0,0,47.25,medium
5868.64,103.12,13.16,4.51,10.8,905.18,1583.8,0.0,0.0,0,3.58,low
167.24,77.65,55.19,129.94,97.0,688.77,2831.67,0.0,0.0,1,79.14,high
54.67,126.37,49.55,139.55,88.2,649.67,3780.71,0.0,0.0,1,82.57,critical
38.84,25.72,53.7,121.23,86.95,140.05,830.54,0.0,0.0,0,66.99,high
914.7,184.59,47.23,106.96,76.06,1080.63,5439.82,1.2,3642.95,0,37.2,medium
2287.57,133.91,34.98,49.68,24.03,937.99,3280.45,34.1,2343.99,0,16.11,low
4323.15,83.91,9.83,9.38,2.82,793.34,1205.71,0.0,0.0,0,2.99,low
126.79,14.87,13.17,25.69,42.73,77.83,175.77,7.9,132.08,0,20.81,low
587.87,22.77,18.88,32.11,53.64,208.62,423.58,0.0,0.0,0,20.95,low
108.91,33.44,30.91,108.25,67.12,195.56,712.3,0.0,0.0,1,61.83,high
360.86,101.94,41.98,88.08,60.51,524.32,2663.93,28.4,997.21,1,55.81,medium
171.25,137.34,46.46,111.62,96.83,891.95,4082.35,0.0,0.0,1,77.44,high
4101.48,101.49,15.28,11.36,6.24,743.84,1519.47,0.0,0.0,0,4.13,low
63.37,68.32,41.95,139.79,99.65,273.23,1706.32,0.0,0.0,0,68.39,high
455.89,129.63,33.55,103.27,60.16,680.2,2854.83,6.0,2029.76,0,41.57,medium
82.63,175.07,43.55,135.31,94.49,794.76,4606.82,0.0,0.0,1,79.19,high
976.56,187.6,41.85,108.36,75.28,1651.04,5576.53,6.5,3600.51,0,43.73,medium
4199.83,143.65,14.11,15.95,11.44,766.84,1780.27,6.0,1365.55,0,0.9,low
5.68,18.18,46.69,111.63,77.8,156.71,581.14,0.0,0.0,0,72.37,high
597.59,122.4,41.86,93.98,50.5,602.5,3164.34,1.1,2375.41,1,41.11,medium
527.15,25.51,18.83,12.7,3.8,82.99,323.11,0.0,0.0,0,8.94,low
