etaDeviationHours,weatherLevel,routeRiskIndex,carrierReliability,trackingGapHours,shipmentValueUSD,daysInTransit,supplierRiskScore,isInternational,carrierDelayRate,riskScore,riskTier
17.32,high,53.93,50.17,5.79,38822.05,10.2,42.21,0,13.75,34.32,medium
7.54,medium,25.31,55.86,9.78,71857.64,12.0,31.89,0,16.39,23.42,low
94.87,high,80.04,19.6,56.72,443252.94,44.3,80.48,1,54.09,85.9,critical
11.72,medium,41.63,59.89,15.09,199330.24,19.9,30.63,0,10.65,30.32,medium
52.72,medium,74.03,36.58,26.62,355359.77,32.4,84.11,1,29.79,60.85,high
-0.59,low,2.61,84.04,1.94,1361.49,6.1,8.56,1,8.17,8.47,low
8.57,medium,49.92,54.43,11.69,183825.75,20.1,47.34,0,22.68,32.7,medium
37.08,medium,65.14,47.56,38.47,278342.24,23.0,80.4,1,40.42,54.03,medium
65.69,high,82.28,45.82,23.34,363943.65,23.7,69.04,1,38.65,66.98,high
-0.27,low,13.62,90.7,7.99,9007.82,7.5,4.85,0,7.64,5.89,low
81.1,high,90.45,18.51,57.7,445672.58,42.1,93.81,1,56.51,85.74,critical
8.53,low,7.76,84.73,7.38,34368.46,7.9,3.68,0,3.66,7.61,low
87.46,high,99.37,9.92,61.27,408199.34,41.2,93.29,1,50.48,87.72,critical
1.63,low,6.07,84.8,5.8,8868.25,1.3,16.55,0,5.94,5.35,low
33.7,high,48.47,58.79,15.47,63501.56,5.0,46.53,0,16.15,37.05,medium
36.52,high,43.29,52.96,24.23,180026.06,13.3,37.26,1,18.94,46.21,medium
-1.99,medium,5.06,89.79,2.13,49978.49,2.8,7.1,0,4.39,10.41,low
1.11,low,13.08,87.24,6.55,13837.73,4.5,8.62,1,0.12,9.6,low
34.78,medium,23.33,77.03,5.18,159477.63,8.4,49.29,0,18.3,28.53,low
84.34,high,83.12,13.56,66.18,462839.26,44.9,90.73,1,51.18,87.2,critical
38.8,medium,40.47,66.39,19.38,98106.32,11.6,44.9,0,22.1,32.97,medium
93.04,high,83.9,0.19,63.63,468969.43,43.5,83.66,1,53.27,89.42,critical
5.98,low,25.6,69.7,8.53,20493.41,14.2,20.9,0,14.61,13.8,low
90.95,medium,81.03,8.31,70.07,451556.5,40.1,97.05,1,55.94,82.81,critical
37.03,low,41.96,67.64,20.77,89972.19,13.9,36.64,1,21.12,30.34,medium
84.07,high,84.01,11.89,71.86,494868.52,38.9,99.93,1,51.36,88.5,critical
6.58,low,40.04,70.11,23.95,125641.29,7.7,30.78,0,12.95,19.37,low
30.55,medium,22.81,77.56,12.94,33791.84,10.5,45.35,1,26.95,30.12,medium
2.03,medium,4.41,86.85,5.63,9419.06,5.6,16.18,0,8.02,11.89,low
96.07,high,93.81,15.93,60.73,472099.25,39.7,95.86,0,58.76,86.0,critical
71.04,high,63.2,39.98,20.15,285840.88,26.2,54.7,1,28.9,62.68,high
3.15,low,3.88,82.11,3.18,20131.05,0.0,3.15,1,8.77,8.51,low
-1.69,medium,11.45,89.35,6.17,2658.57,7.8,0.38,0,2.98,10.8,low
92.66,high,98.47,15.29,70.92,381566.61,40.3,94.02,1,50.99,88.39,critical
8.79,low,34.89,74.62,9.5,131314.67,19.4,41.17,0,16.45,20.38,low
80.03,high,97.43,10.42,61.17,444578.84,38.6,94.71,1,57.96,87.09,critical
46.6,high,59.93,35.26,42.47,366091.99,22.3,59.38,0,44.81,59.42,medium
28.61,low,38.42,75.8,21.23,102947.19,15.3,45.33,1,24.79,29.1,low
40.66,medium,56.6,36.37,25.6,338838.18,21.0,57.01,1,32.0,52.01,medium
1.67,low,9.33,86.91,4.92,20576.35,4.9,18.69,0,8.4,6.7,low
29.18,medium,31.12,75.13,7.89,120288.89,12.2,35.69,0,26.8,28.14,low
6.2,medium,27.07,79.79,19.87,117572.29,12.4,27.92,1,10.87,26.59,low
33.89,medium,38.72,62.19,18.05,191509.82,20.2,43.33,1,29.97,40.29,medium
102.38,high,80.02,6.92,67.1,477889.47,41.4,94.7,1,57.02,91.33,critical
8.21,low,5.01,83.81,3.03,4729.8,1.5,17.92,0,4.8,6.2,low
58.89,high,59.95,45.85,26.7,363837.92,18.7,57.05,1,34.14,61.26,high
111.25,high,94.26,7.39,62.81,432570.53,44.3,99.99,1,50.56,93.58,critical
-2.85,low,17.29,96.36,3.29,38964.11,7.4,7.19,0,8.56,6.2,low
117.56,high,98.26,18.97,70.35,440459.36,41.1,90.81,1,54.41,94.04,critical
3.4,low,6.61,83.64,7.7,39826.15,7.4,5.57,0,8.59,7.19,low
41.29,medium,52.48,50.36,37.29,370683.17,23.6,52.2,1,38.64,52.81,medium
7.49,medium,48.09,58.66,20.3,46743.24,18.0,27.38,1,19.2,31.32,medium
37.18,high,83.97,46.04,46.95,230965.42,37.9,66.06,1,40.16,63.74,high
27.37,high,22.38,56.26,9.47,169175.59,20.2,43.27,0,27.27,38.07,medium
20.32,medium,20.42,73.73,10.54,171484.88,17.0,29.93,0,18.16,26.72,low
10.99,low,44.53,65.33,9.57,147947.4,16.2,27.21,0,12.99,21.37,low
88.89,high,90.71,16.54,67.72,380071.03,45.0,84.09,1,51.02,86.29,critical
82.89,high,85.73,11.89,56.6,381818.94,42.7,84.03,1,48.44,83.28,critical
73.14,high,51.48,42.63,37.98,224152.69,35.7,60.44,1,37.18,64.59,high
112.19,medium,83.72,15.34,59.45,421411.33,42.7,98.09,1,49.56,84.55,critical
112.69,high,95.34,12.72,66.98,428548.11,43.5,97.07,1,54.12,93.66,critical
5.78,low,10.1,84.68,6.48,24166.38,3.3,0.6,0,5.99,6.13,low
6.47,high,51.19,68.35,9.92,164859.44,20.8,31.99,1,13.84,38.74,medium
23.33,medium,20.61,50.03,8.98,55648.12,11.7,26.45,0,14.87,25.26,low
83.11,high,89.95,19.26,60.12,490722.24,41.6,95.86,1,50.96,87.02,critical
97.62,high,83.4,13.06,65.66,473531.25,38.7,99.58,1,48.05,89.31,critical
82.58,low,99.88,9.63,70.6,423816.17,38.2,93.02,0,59.61,72.38,high
72.09,medium,76.84,25.92,25.31,329656.99,18.7,79.99,1,49.64,63.6,high
9.06,low,11.45,81.23,7.44,18454.38,0.4,16.13,0,7.74,8.07,low
54.71,high,66.22,49.3,48.69,193560.74,25.7,74.96,0,28.15,57.55,medium
16.61,low,52.08,62.62,14.63,20142.49,8.4,24.55,1,14.31,23.55,low
106.5,high,94.5,1.65,56.41,447214.5,40.0,84.89,0,56.91,87.39,critical
52.61,medium,62.33,34.54,34.21,273602.64,28.3,50.33,1,36.2,55.5,medium
-2.66,low,18.1,96.19,3.07,45984.45,4.1,3.25,0,1.42,5.08,low
5.27,high,10.86,82.12,2.96,9006.32,5.6,10.75,0,1.28,18.54,low
90.77,high,95.3,3.26,57.68,474846.71,40.9,97.37,1,53.44,90.18,critical
97.31,high,94.0,17.12,55.34,430506.72,39.8,85.67,1,52.01,87.28,critical
-3.03,low,1.6,99.25,1.01,42774.43,5.7,11.12,0,7.66,3.83,low
58.02,high,77.62,45.19,44.66,299115.28,35.0,65.05,1,29.04,66.94,high
64.18,medium,75.71,25.28,41.64,387223.42,33.6,81.87,0,34.04,63.03,high
31.55,medium,20.86,69.5,20.6,179578.66,21.9,46.63,1,13.71,36.48,medium
4.06,low,5.89,93.68,0.59,33782.64,5.8,17.83,0,6.35,5.85,low
85.59,medium,96.38,7.21,67.28,435597.77,44.6,97.7,0,48.28,79.43,high
10.41,medium,26.25,52.76,18.67,180844.87,21.1,49.51,0,16.46,31.01,medium
105.34,medium,99.99,19.4,67.26,484331.21,44.6,80.58,1,50.48,86.21,critical
1.39,low,3.49,95.68,6.25,4560.43,8.0,17.57,0,7.79,5.25,low
-1.71,low,9.56,97.57,1.84,24572.37,3.7,3.57,0,7.55,3.63,low
6.4,low,45.22,54.93,20.03,20568.46,7.5,49.67,1,10.16,23.81,low
37.64,medium,63.38,41.04,27.74,383452.65,31.6,81.91,0,34.72,53.18,medium
39.41,medium,48.58,66.85,23.65,157782.13,20.3,37.44,0,28.11,37.26,medium
102.76,low,84.57,15.1,60.5,453160.45,38.9,99.9,1,52.06,77.46,high
48.6,low,78.63,36.58,46.53,391027.1,20.9,51.19,1,38.88,53.65,medium
20.48,high,30.91,77.48,18.31,101224.56,10.7,43.92,1,14.64,36.56,medium
34.37,medium,24.64,56.24,13.79,114170.28,5.2,44.65,0,28.59,30.31,medium
20.42,high,48.46,77.2,11.31,196378.0,15.4,25.59,0,27.08,36.39,medium
36.92,low,43.92,50.52,6.76,128736.67,9.0,35.45,1,27.45,31.08,medium
107.28,high,83.85,15.31,60.43,449363.59,44.2,83.37,0,58.83,86.16,critical
-3.18,low,1.42,99.31,0.9,43946.81,6.7,14.44,0,3.19,3.96,low
53.23,high,56.45,41.53,27.25,270977.57,37.7,75.06,0,28.36,58.51,medium
33.88,medium,25.06,58.51,15.93,125745.88,16.8,25.13,0,18.04,30.36,medium
6.26,low,7.49,82.49,5.04,21509.17,2.6,2.4,0,7.85,6.05,low
39.08,high,64.64,49.69,27.92,175579.46,23.0,50.62,0,32.88,49.6,medium
83.11,high,83.63,5.53,61.93,482811.42,41.7,89.13,1,53.45,87.29,critical
96.24,high,91.63,5.14,71.53,482200.58,43.9,91.43,1,49.83,92.09,critical
3.65,low,12.11,89.06,7.37,8710.94,2.4,9.81,0,5.26,5.8,low
53.75,high,74.56,33.56,21.6,320306.54,28.4,50.78,1,45.76,63.69,high
2.86,low,10.37,82.51,7.77,37430.72,2.3,10.62,0,5.11,6.88,low
119.76,high,95.73,17.42,66.41,403213.66,39.5,85.41,1,55.43,92.31,critical
1.0,low,13.15,84.02,5.26,43556.5,6.5,5.82,1,9.14,11.22,low
102.45,high,98.12,12.43,57.49,438576.76,42.4,90.22,1,49.7,90.3,critical
55.5,medium,71.01,36.85,24.32,260417.1,31.8,58.21,0,34.99,52.61,medium
-2.52,low,18.59,87.25,4.99,49163.27,5.5,17.37,1,8.33,12.16,low
106.84,high,99.85,4.07,71.19,403758.49,43.7,94.71,1,57.17,93.93,critical
59.29,high,69.37,36.41,22.68,345985.32,37.8,59.31,1,33.34,66.06,high
55.11,high,64.47,50.91,44.57,379679.76,30.5,77.85,0,28.63,62.37,high
0.63,low,16.05,98.97,2.5,19040.82,0.8,16.79,0,1.61,4.48,low
3.17,low,8.83,92.01,6.65,26613.5,5.8,3.78,0,1.18,5.24,low
14.42,low,48.68,60.85,21.97,134116.95,12.0,44.83,0,27.06,25.59,low
71.99,high,51.33,31.23,41.01,176289.09,34.2,81.95,1,34.99,66.0,high
60.42,high,69.74,30.82,20.47,186215.93,26.8,72.62,0,47.81,58.87,medium
11.66,high,21.06,73.06,13.4,49805.01,18.5,44.69,0,18.89,30.17,medium
88.37,high,81.26,15.22,58.59,432523.16,40.7,99.19,1,59.62,86.47,critical
45.2,high,75.8,50.84,34.62,380405.03,29.8,51.15,1,34.46,62.97,high
52.01,high,53.24,45.5,25.43,160859.64,29.2,72.74,1,36.18,57.48,medium
52.03,high,58.1,34.09,43.82,319403.47,30.4,78.22,0,37.01,61.77,high
0.14,low,1.35,88.62,6.29,45338.52,6.1,5.93,0,2.62,4.85,low
62.27,medium,57.07,46.79,48.97,318157.48,34.8,82.27,1,31.29,61.53,high
34.62,low,40.11,50.55,24.94,21662.45,17.8,27.15,0,13.07,25.61,low
9.48,low,8.46,84.71,7.96,47903.78,5.3,9.77,0,6.8,8.5,low
35.73,high,50.76,55.15,24.69,197800.69,18.5,35.76,1,25.72,48.48,medium
89.8,medium,82.79,15.39,61.86,399550.21,44.7,92.68,1,51.3,80.11,critical
-2.33,medium,9.91,99.58,4.38,49940.95,5.0,14.99,0,5.61,11.37,low
4.4,low,13.2,96.72,3.14,34798.57,7.7,1.66,0,4.18,5.68,low
-2.64,low,13.84,92.61,4.74,33984.2,0.3,9.45,0,1.69,4.67,low
111.15,high,89.62,13.65,58.73,472565.31,41.6,92.9,0,51.77,87.91,critical
90.7,high,80.95,1.62,68.2,467963.51,39.8,93.1,1,53.17,89.05,critical
114.27,high,87.1,18.7,64.78,470195.58,44.6,80.8,1,57.24,92.23,critical
4.24,low,15.01,99.69,1.07,33068.26,2.4,12.44,0,0.48,4.98,low
1.37,low,0.76,94.15,0.7,29705.61,3.1,16.31,0,7.81,4.1,low
115.37,high,99.15,13.01,70.77,445165.1,40.0,82.44,1,52.55,93.51,critical
68.88,high,64.36,27.86,33.06,349312.32,20.9,69.22,1,36.62,67.31,high
48.99,high,53.2,25.3,40.12,373531.09,20.3,83.89,1,49.61,65.89,high
-0.02,low,15.27,96.56,1.08,33180.44,7.0,14.17,1,1.25,9.55,low
7.84,low,14.81,95.06,3.94,29331.55,0.1,17.49,0,0.47,6.3,low
19.25,high,50.97,55.09,8.38,138205.51,19.7,33.19,1,15.14,41.56,medium
113.94,high,84.05,19.57,67.43,413390.99,42.0,86.7,1,54.8,90.48,critical
32.58,medium,31.24,54.13,24.65,174924.15,20.8,49.06,0,12.14,35.68,medium
64.4,high,55.04,31.65,20.22,191539.4,30.2,78.85,1,39.36,62.4,high
97.74,high,95.75,14.08,55.85,446146.93,41.8,87.13,1,58.16,89.19,critical
21.56,medium,21.74,71.17,22.64,189661.85,12.7,42.04,1,12.29,32.95,medium
64.66,high,59.8,32.21,33.27,288723.59,23.6,84.08,1,47.9,66.55,high
11.14,low,32.65,51.9,17.46,158195.87,16.5,35.42,1,29.07,28.22,low
71.57,high,58.43,28.08,33.34,223750.57,29.8,62.56,1,33.41,64.94,high
108.45,medium,87.91,8.59,61.78,420716.15,38.5,85.01,1,51.03,83.59,critical
0.4,low,8.21,81.04,0.87,26778.0,4.5,14.26,0,6.67,6.08,low
61.01,medium,84.95,28.95,45.42,396045.04,28.2,77.18,0,30.04,62.23,high
-0.3,low,11.21,82.29,0.17,10285.12,6.1,3.48,0,7.99,5.28,low
7.11,low,18.26,81.71,3.58,4337.95,2.3,9.72,0,1.78,7.14,low
105.43,high,94.85,6.63,69.71,427719.28,40.2,80.3,1,57.63,91.47,critical
33.36,low,36.26,56.68,11.73,74475.4,11.2,21.29,0,11.05,22.32,low
17.35,medium,47.1,65.01,18.54,129271.97,21.0,40.46,0,13.0,31.34,medium
34.68,high,23.14,77.38,24.31,93638.36,21.3,28.08,1,21.54,39.81,medium
109.06,high,91.57,9.87,57.41,439770.95,39.5,98.14,1,54.05,91.41,critical
7.95,medium,29.26,53.71,15.03,49222.9,6.2,20.07,0,27.46,22.99,low
5.25,low,5.78,91.09,7.54,44202.75,5.7,10.84,0,6.83,6.79,low
16.67,low,48.46,79.71,17.26,148909.86,18.4,38.04,1,20.53,28.08,low
0.43,low,11.77,83.31,2.83,17259.72,1.1,18.43,0,1.34,5.65,low
5.88,medium,31.94,65.84,13.35,74660.91,13.2,29.67,0,10.37,23.01,low
54.64,high,68.46,26.21,35.16,228988.04,28.4,61.96,1,45.64,64.06,high
110.56,high,94.2,2.56,58.36,409744.49,38.0,81.52,1,48.46,90.15,critical
7.86,low,6.19,80.83,6.81,42255.64,0.4,4.55,1,7.05,10.78,low
7.97,medium,27.35,76.84,11.94,74359.99,13.0,37.81,1,27.26,27.33,low
116.83,low,95.3,6.1,69.61,383193.04,43.5,87.4,1,50.91,81.3,critical
-1.91,low,10.49,98.0,6.42,21935.61,6.4,11.75,0,3.87,5.03,low
108.7,medium,94.39,18.31,67.53,491306.31,40.6,90.76,1,58.99,87.13,critical
-4.57,high,4.86,84.31,6.77,4875.76,5.7,13.98,0,5.36,17.51,low
93.54,high,95.23,3.6,60.92,404391.63,44.3,86.73,1,55.07,89.17,critical
7.47,low,13.29,94.45,5.94,29854.29,2.7,6.35,0,7.56,6.38,low
31.71,medium,46.59,53.9,22.94,184880.36,5.1,46.34,1,21.26,39.03,medium
108.51,high,86.73,10.83,61.22,451597.03,41.1,80.3,1,48.97,89.85,critical
43.79,medium,70.8,50.3,47.05,310586.92,19.0,83.5,1,46.51,57.34,medium
88.45,high,84.72,0.25,66.67,469009.85,40.6,98.5,1,57.57,89.96,critical
48.46,medium,51.77,43.67,39.82,301489.81,21.0,54.73,0,49.7,49.82,medium
117.23,medium,92.89,11.65,71.35,420507.47,40.3,89.66,1,50.53,87.2,critical
56.76,high,74.56,40.77,37.56,280291.79,33.1,83.04,1,45.53,67.74,high
47.74,high,82.81,30.72,45.85,330252.47,31.9,75.82,1,45.57,69.41,high
114.82,high,81.25,16.33,60.1,487591.07,43.3,84.26,1,49.05,91.25,critical
27.31,low,25.89,58.94,7.33,89435.66,6.6,43.79,1,21.97,25.32,low
87.2,high,86.67,11.11,64.65,441907.77,38.1,90.8,1,50.62,86.48,critical
41.5,high,75.04,40.1,42.21,327847.92,27.3,52.92,0,41.8,59.03,medium
85.71,high,90.4,1.22,64.17,444498.11,43.5,99.06,1,56.26,89.65,critical
8.05,medium,13.24,82.06,3.4,36752.83,5.0,12.99,0,3.55,14.29,low
113.42,high,91.81,10.35,71.21,398986.43,39.6,90.91,0,48.62,87.81,critical
14.56,medium,27.98,52.28,14.56,142534.77,9.7,27.22,1,26.88,31.53,medium
100.05,high,83.6,13.36,63.33,446824.6,39.9,88.47,1,50.24,88.31,critical
73.16,high,75.38,34.41,46.33,252156.17,32.9,65.11,0,32.77,65.45,high
13.26,medium,49.12,62.59,14.14,66280.28,13.3,30.64,0,26.57,27.81,low
65.76,high,84.58,26.2,24.13,255305.25,20.4,59.27,1,28.99,64.69,high
6.48,low,9.27,80.82,3.07,10181.99,0.8,17.14,1,7.42,10.81,low
8.53,low,14.26,89.11,6.07,11257.5,5.4,5.95,1,0.47,10.77,low
64.01,medium,51.37,39.34,23.81,360763.68,20.5,53.44,1,47.44,56.36,medium
53.37,medium,67.47,49.6,32.16,366930.52,24.9,75.06,1,29.45,57.69,medium
38.79,low,22.89,56.11,15.82,42866.29,6.9,33.96,0,11.27,21.73,low
37.33,high,83.51,37.94,32.36,285306.56,21.2,79.1,1,35.36,61.96,high
8.98,low,6.02,87.55,6.85,15306.99,2.8,16.71,1,8.83,11.17,low
36.67,medium,30.82,57.14,16.33,183303.46,11.4,46.12,1,17.82,37.83,medium
62.15,high,83.92,36.82,34.56,186606.28,36.7,52.59,1,37.45,65.33,high
109.49,medium,83.3,12.79,60.39,477455.65,39.0,85.96,1,55.82,84.49,critical
117.61,medium,80.66,14.53,65.29,456936.79,41.1,82.01,1,48.83,85.14,critical
12.48,medium,38.36,75.7,23.75,38912.78,6.7,39.76,1,20.26,28.62,low
6.16,medium,3.83,92.04,3.02,47787.95,6.3,16.31,0,0.55,12.33,low
22.1,high,24.33,59.79,14.46,84410.49,12.3,34.78,0,21.31,33.01,medium
4.27,low,13.21,89.74,1.26,29404.0,3.4,10.15,0,6.85,6.12,low
2.09,low,3.86,96.41,7.32,34227.35,4.1,8.75,0,4.32,4.55,low
64.13,medium,60.75,32.56,20.65,334684.39,31.5,62.8,0,45.33,55.77,medium
30.1,medium,26.81,76.95,24.94,151754.49,16.0,45.16,1,17.24,35.06,medium
7.92,medium,43.21,58.3,5.29,171467.85,17.8,33.99,0,14.36,28.34,low
9.26,medium,20.9,79.56,24.29,56883.01,14.6,28.08,0,16.61,22.27,low
99.86,high,87.73,6.01,66.08,448640.9,39.9,95.83,1,52.37,90.6,critical
9.43,low,15.09,89.5,0.73,41202.76,4.4,12.4,0,3.13,7.63,low
101.37,high,81.78,2.23,70.2,488740.87,43.8,87.83,1,57.11,92.33,critical
58.9,high,61.19,47.0,46.45,387960.64,30.7,66.78,0,42.75,63.56,high
20.67,low,20.8,51.32,11.45,191499.49,6.0,36.52,1,22.72,26.52,low
110.61,high,90.15,6.45,61.43,443286.21,44.2,96.54,1,55.88,93.22,critical
5.48,high,20.49,52.64,24.18,194973.79,20.3,31.54,1,20.73,39.08,medium
89.61,medium,91.87,5.76,67.03,456300.51,43.0,86.62,1,51.83,83.3,critical
5.4,high,42.33,50.65,17.61,43683.76,5.9,30.74,1,16.14,34.59,medium
22.7,low,21.27,56.05,19.01,35040.22,8.2,24.56,1,24.07,23.1,low
34.21,medium,31.15,54.6,22.93,174498.35,9.5,46.36,1,15.29,37.7,medium
71.79,high,54.0,27.06,34.05,379067.73,31.2,65.97,1,49.56,69.94,high
106.24,high,96.28,19.11,60.18,392866.82,39.6,89.97,1,51.48,88.9,critical
2.69,low,0.57,82.39,4.58,37573.59,6.9,6.19,0,3.41,5.69,low
7.1,low,6.55,87.18,1.9,37359.5,6.4,13.02,0,7.45,7.16,low
69.38,low,67.0,39.18,25.06,223939.26,35.7,71.19,1,34.69,53.36,medium
106.64,high,99.5,19.98,64.03,397169.43,40.1,98.02,1,52.19,90.59,critical
29.09,low,46.69,75.83,15.23,144791.31,15.3,25.92,0,16.31,24.4,low
29.45,high,25.65,57.46,17.1,78214.93,11.8,34.39,0,12.57,34.19,medium
2.69,low,15.29,80.97,7.23,20868.16,1.4,13.4,0,6.01,7.26,low
10.64,low,35.72,62.98,16.92,151996.91,20.0,49.76,0,23.38,24.55,low
113.08,high,83.78,19.83,60.83,476135.82,41.5,97.98,0,54.87,87.86,critical
109.58,high,96.67,1.38,69.05,418858.94,44.4,94.34,1,59.41,94.67,critical
99.6,high,85.15,7.25,66.01,414734.7,43.3,81.83,1,56.17,89.03,critical
4.47,low,6.24,95.28,4.86,48355.15,3.3,8.65,1,6.99,9.49,low
61.36,high,69.97,28.87,31.42,354156.4,28.7,53.11,1,40.1,66.78,high
85.11,high,88.33,13.78,60.06,479420.97,43.9,99.98,1,53.52,88.37,critical
9.63,medium,4.4,89.38,0.16,14921.76,5.4,18.1,0,9.45,12.77,low
71.01,high,83.75,25.02,48.18,189011.51,32.1,73.7,1,33.42,70.28,high
45.77,high,61.35,34.19,26.6,274091.02,28.9,70.28,1,46.04,61.71,high
37.42,low,68.06,28.05,47.8,317106.68,35.1,72.77,0,40.65,49.91,medium
-1.74,low,13.86,86.75,4.97,6515.53,0.2,6.28,0,6.47,4.67,low
89.92,high,86.26,10.5,66.9,464130.34,40.6,82.08,1,51.11,87.55,critical
111.45,high,94.85,17.24,61.44,482118.04,40.5,89.13,1,56.82,92.61,critical
94.16,high,80.45,3.84,71.0,410923.84,41.2,83.32,0,58.21,84.15,critical
52.34,medium,82.13,25.8,49.79,311526.47,22.9,57.09,1,39.57,61.15,high
12.43,high,51.05,53.57,23.98,159185.79,7.4,49.83,0,25.98,38.56,medium
4.29,low,18.37,86.97,5.65,15991.41,3.5,9.73,0,5.39,7.06,low
20.47,medium,28.9,64.41,8.46,93171.77,19.5,48.34,1,27.06,33.1,medium
15.86,low,35.71,53.94,13.46,135965.72,6.8,35.71,0,19.96,21.96,low
58.53,medium,66.04,48.9,41.1,250760.6,31.1,78.75,1,49.07,59.45,medium
74.4,high,53.28,26.77,28.51,212213.32,20.7,60.52,1,45.68,63.19,high
98.98,high,85.69,13.88,62.04,448691.26,39.2,95.34,1,54.82,88.94,critical
7.08,low,0.81,90.36,6.89,2983.65,7.9,1.47,1,8.24,9.27,low
108.79,medium,80.93,19.8,68.14,402523.13,38.4,97.18,1,59.89,83.5,critical
46.23,medium,84.71,34.11,25.19,247757.53,33.9,62.93,0,29.35,52.99,medium
87.45,high,82.8,11.13,57.17,407081.89,40.1,86.33,1,55.4,84.7,critical
50.74,medium,60.46,41.23,20.96,166853.82,23.9,74.17,0,40.22,47.63,medium
-3.28,low,13.57,92.49,7.51,44064.94,7.3,4.0,0,8.64,6.46,low
112.39,high,89.9,19.95,63.31,443563.65,44.5,96.21,1,58.06,92.55,critical
54.18,high,53.56,43.8,37.97,214384.58,22.6,66.91,1,28.53,58.61,medium
8.39,low,6.63,82.53,4.91,15050.13,2.7,12.94,0,0.19,6.52,low
50.29,high,60.22,35.58,49.61,339982.98,27.8,58.67,1,38.49,64.75,high
9.76,medium,48.92,73.08,15.73,35163.65,20.6,35.21,0,13.77,26.33,low
5.34,low,14.32,82.76,1.05,33891.16,1.9,14.85,0,1.52,6.97,low
41.16,high,50.41,34.05,25.06,390419.69,36.4,68.62,1,37.55,62.81,high
101.68,high,93.23,2.47,59.16,410802.62,39.6,86.25,1,59.25,89.91,critical
55.63,high,50.2,49.12,47.24,299580.53,27.3,57.98,1,34.29,61.53,high
0.16,low,9.93,93.91,7.52,12432.23,8.0,4.95,0,9.92,5.43,low
59.06,high,79.17,25.92,45.82,361682.75,22.9,53.47,0,37.67,64.36,high
98.58,high,81.75,16.83,69.35,423699.66,41.7,84.23,1,56.41,87.99,critical
83.67,medium,91.39,9.7,55.13,386045.35,38.9,85.86,1,50.96,77.91,high
81.59,medium,95.96,6.57,70.71,483815.72,41.9,97.01,1,57.76,84.35,critical
70.87,medium,70.15,50.38,34.32,227020.84,36.2,72.3,1,49.34,61.14,high
0.42,low,13.27,87.69,3.58,10237.31,3.2,12.98,0,9.27,5.78,low
